ScenarioID,ParallelShift,VolShock,CorrShock,EURUSD_PnL,USDJPY_PnL,GBPUSD_PnL,PortfolioPnL
220,0.026928,0.041358,-0.02346,-167387.97,-57943.13,-44470.26,-269801.36
641,0.028453,-0.015465,0.012228,-165616.45,-57359.2,-46516.24,-269491.89
199,0.025838,0.06244,0.004393,-154479.35,-54862.15,-47470.5,-256812.0
835,0.027066,0.061385,0.023489,-153509.41,-53362.84,-47138.98,-254011.23
923,0.0238,0.002733,-0.024617,-150230.45,-51246.31,-43668.97,-245145.73
615,0.025247,-0.069829,-0.001355,-143651.77,-51431.9,-44877.16,-239960.83
295,0.02403,0.021826,-0.01806,-148205.53,-46274.39,-41709.26,-236189.18
533,0.023031,-0.010826,-0.000473,-141922.45,-49533.69,-42136.8,-233592.94
608,0.02379,0.042063,-0.022334,-132640.19,-52159.45,-41367.97,-226167.61
58,0.022643,0.034105,0.022856,-129449.52,-55802.46,-38550.75,-223802.73
